Year,GrandPrix,Driver,FP1_best,FP1_mean,FP1_std,FP2_best,FP2_mean,FP2_std,FP3_best,FP3_mean,FP3_std,track_evolution,AirTemp,TrackTemp,Humidity,Rainfall,Team,quali_best,Driver_enc,Team_enc,GrandPrix_enc
2023,Canadian Grand Prix,HAM,,,,73.718,77.57554545454545,1.7674659466952318,85.087,86.821,1.6472919190801225,,16.46629213483146,18.4561797752809,87.71910112359551,1,Mercedes,80.426,5,7,6
2023,Canadian Grand Prix,HUL,,,,76.369,76.87733333333334,0.5050330022219696,85.14,86.42224999999999,1.1884744773588256,,16.46629213483146,18.4561797752809,87.71910112359551,1,Haas F1 Team,80.305,6,5,6
2023,Canadian Grand Prix,LEC,,,,74.094,76.88261111111109,1.3431238889416541,83.397,85.03083333333333,1.2577928949817894,,16.46629213483146,18.4561797752809,87.71910112359551,1,Ferrari,80.615,8,4,6
2023,Canadian Grand Prix,MAG,84.045,84.045,,74.544,77.30145454545455,1.5498793736053391,84.715,86.54914285714285,1.3035091648535264,-0.6700000000000017,16.46629213483146,18.4561797752809,87.71910112359551,1,Haas F1 Team,81.678,9,5,6
2023,Canadian Grand Prix,NOR,,,,74.617,77.28594444444444,1.10232921698301,85.198,86.94222222222221,1.2452211427872746,,16.46629213483146,18.4561797752809,87.71910112359551,1,McLaren,79.347,10,6,6
2023,Canadian Grand Prix,OCO,,,,75.092,76.4587142857143,1.0068408868478544,86.84,86.84,,,16.46629213483146,18.4561797752809,87.71910112359551,1,Alpine,80.406,11,2,6
2023,Canadian Grand Prix,PER,80.154,80.154,,74.25,77.2403076923077,1.3496974589770958,85.857,86.94975,1.320963631848607,-5.703000000000003,16.46629213483146,18.4561797752809,87.71910112359551,1,Red Bull Racing,80.959,12,8,6
2023,Canadian Grand Prix,PIA,81.496,81.496,,74.533,77.30076470588234,1.3748213760981722,85.191,86.78866666666667,1.3497638682376998,-3.6950000000000074,16.46629213483146,18.4561797752809,87.71910112359551,1,McLaren,79.659,13,6,6
2023,Canadian Grand Prix,RUS,,,,73.745,77.54093333333331,1.7513492947955729,85.435,86.76700000000001,1.308705772891676,,16.46629213483146,18.4561797752809,87.71910112359551,1,Mercedes,80.098,15,7,6
2023,Canadian Grand Prix,SAI,,,,73.844,77.27145454545453,1.4451303690497221,84.765,86.7852,1.5070541463398066,,16.46629213483146,18.4561797752809,87.7191011235955,1,Ferrari,79.856,16,4,6
2023,Canadian Grand Prix,SAR,,,,75.426,77.01275,1.308230293182358,87.279,87.68966666666665,0.36209022816603725,,16.46629213483146,18.4561797752809,87.71910112359551,1,Williams,83.337,17,9,6
